Team1,Team2,Winner
MI,CSK,CSK
DD,KXIP,KXIP
KKR,RCB,KKR
SRH,RR,SRH
CSK,KKR,CSK
RR,DD,RR
SRH,MI,SRH
RCB,KXIP,RCB
MI,DD,DD
KKR,SRH,SRH
RCB,RR,RR
KXIP,CSK,KXIP
KKR,DD,KKR
MI,RCB,MI
RR,KKR,KKR
KXIP,SRH,KXIP
CSK,RR,CSK
KKR,KXIP,KXIP
DD,RCB,RCB
SRH,CSK,CSK
RR,MI,RR
KXIP,DD,KXIP
MI,SRH,SRH
RCB,CSK,CSK
SRH,KXIP,SRH
DD,KKR,DD
CSK,MI,MI
RR,SRH,SRH
RCB,KKR,KKR
CSK,DD,CSK
RCB,MI,RCB
DD,RR,DD
KKR,CSK,KKR
KXIP,MI,MI
CSK,RCB,CSK
SRH,DD,SRH
MI,KKR,MI
KXIP,RR,KXIP
SRH,RCB,SRH
RR,KXIP,RR
KKR,MI,MI
DD,SRH,SRH
RR,CSK,RR
KXIP,KKR,KKR
RCB,DD,RCB
CSK,SRH,CSK
MI,RR,RR
KXIP,RCB,RCB
KKR,RR,KKR
MI,KXIP,MI
RCB,SRH,RCB
DD,CSK,DD
RR,RCB,RR
SRH,KKR,KKR
DD,MI,DD
CSK,KXIP,CSK
